DG,Order_1,QBDRAP
-0.2499739938263767,-0.2499739938263767,-0.2969970766714332
-1.6862164478051933,-0.9544162532972847,-0.3807540621546107
-2.0874035194552616,-1.3981137525282588,-0.572185420423984
-2.354789949205788,-1.6903700324243374,-0.7552605430094332
-2.5656567669766903,-1.9086587627366116,-0.9115856021712848
-2.723925987028425,-2.0829591141744097,-1.036942938838481
-2.8719915493832517,-2.2280605527475066,-1.139754485073573
-2.979382230324396,-2.352356783321115,-1.2262324819107469
-3.0980320175758167,-2.4610717951645285,-1.3004301839715064
-3.174179647423973,-2.557681467134516,-1.3652173864452015
-3.2773102364196074,-2.6446125418758384,-1.4225534739195236
