DG,Unif,QBDRAP
-0.778281523523999,-0.778281523523999,-0.8901386880415552
-4.628692982601496,-1.7327846356631924,-0.9235866855459453
-4.745723975498614,-2.176742580910677,-1.1603361490903905
-4.820523747785097,-2.469259358816221,-1.3851737889760047
-4.875940453123438,-2.6878092646706606,-1.570553955307649
-4.920100799695345,-2.862370426138757,-1.7261814565822364
-4.956885736111951,-3.0077318912012885,-1.8597590627058345
-4.988462654033834,-3.132288304152152,-1.9765035370875141
-5.016167140744425,-3.2412643849010676,-2.0800356585192077
-5.0408833199642356,-3.338134446527079,-2.1729498838255545
-5.063226834235781,-3.4253265867204834,-2.257161209744632
