unnormalised,naive,normalised
-0.4195981505885869,-0.8413395972683043,-0.8413395972683043
-0.7124589522397933,-1.046716791970986,-1.0468959527883417
-0.9737938692294932,-1.139590356825807,-1.1392492609537954
-1.181045571589266,-1.2845812255124127,-1.2851141934092616
-1.3511825961774973,-1.424471925600878,-1.4249214844164075
-1.495171931473765,-1.5516204883584395,-1.5519020422733116
-1.6195600823426932,-1.6654883736806119,-1.6656663636580402
-1.7288443494065775,-1.7676401802239627,-1.7677573770263049
-1.8261883814458102,-1.8598537860331614,-1.8599339669792672
-1.9138784645788256,-1.9436856230237647,-1.943742211346805
-1.9936158252888163,-2.0204191229490474,-2.0204602364618864
