DG,Order_1,DG_limiter,QBDRAP
-0.32896934749469514,-0.32896934749469514,-0.32896934749469514,-0.3188470878944642
-0.5645648180517676,-0.37317253643444814,-0.3027614592135728,-0.37998360726414504
-0.9928698182321272,-0.39785601745647736,-0.29962508334849963,-0.45571423324404736
-1.253020474021445,-0.41965412922679074,-0.2991559109296437,-0.529407442431855
-1.294627865735901,-0.4390171914364501,-0.29889137482380024,-0.5998709237347633
-1.4009085094584457,-0.456545096755889,-0.2984170110492505,-0.6677606866238156
-1.5356760421940339,-0.47264899474529265,-0.29838094854506236,-0.7314300060938919
-1.5872059204327968,-0.48760822158165507,-0.29826915009296906,-0.789804954661061
-1.6172108825918494,-0.5016195801254191,-0.2983324650645663,-0.8428660495497214
-1.71112554574546,-0.5148271039230793,-0.2984550470885819,-0.8909179502398211
-1.7635231857163678,-0.5273397913213623,-0.2984008949371349,-0.9346010115742053
